A	B
[START]	[START]
ADD aluminum chloride	ADD acetyl chloride
ADD chlorobenzene	ADD aluminum chloride
ADD 5-bromo-2,2,4,6-tetramethyl-2,3-dihydro-1-benzofuran	ADD 5-bromo-2,2,4,6-tetramethyl-2,3-dihydro-1-benzofuran
ADD acetyl chloride at < -10°C	ADD chlorobenzene
STIR	STIR at 25°C for 2 h
STIR for 2 h	CONCENTRATE
ADD	PURIFY by chromatography
EXTRACT	YIELD: 1-(5-bromo-2,2,4,6-tetramethyl-2,3-dihydro-1-benzofuran-7-yl)ethanone
WASH extracts with water	[END]
DRY SOLUTION with MgSO4	
REMOVE solvent	
PURIFY by chromatography	
YIELD: 1-(5-bromo-2,2,4,6-tetramethyl-2,3-dihydro-1-benzofuran-7-yl)ethanone	
[END]	
