A	B
[START]	[START]
ADD 3-[2-(2-methylbenzoimidazol-1-yl)-9-methyl-6-morpholin-4-yl-9h-purin-8-ylmethyl]azetidine-1-carboxylic acid tert-butyl ester	ADD TFA
ADD DCM	ADD 3-[2-(2-methylbenzoimidazol-1-yl)-9-methyl-6-morpholin-4-yl-9h-purin-8-ylmethyl]azetidine-1-carboxylic acid tert-butyl ester
ADD TFA	ADD DCM
STIR for 2 h	STIR for 16 h
LOAD	FILTER
WASH with NH3	ADSORB
YIELD: 8-azetidin-3-ylmethyl-2-(2-methylbenzoimidazol-1-yl)-9-methyl-6-morpholin-4-yl-9h-purine	PURIFY by chromatography
[END]	YIELD: 8-azetidin-3-ylmethyl-2-(2-methylbenzoimidazol-1-yl)-9-methyl-6-morpholin-4-yl-9h-purine
	[END]
