A	B
[START]	[START]
ADD sodium hydride	ADD sodium hydride
ADD THF	ADD THF
ADD 1-(3-bromophenyl)pyrrolidin-2-one	ADD diethyl oxalate
ADD diethyl oxalate	ADD 1-(3-bromophenyl)pyrrolidin-2-one
ADD	COOL
REFLUX for 5 h	ADD
COOL to 25°C	STIR at 25°C for 5 h
STIR for 16 h	REMOVE
ADD acetic acid	SET PH to 5
STIR at 25°C for 2 h	ADD acetic acid
PARTITION	STIR
SET PH to 2	QUENCH with water
SEPARATE	ADD water
WASH organic phase with brine	EXTRACT with ethyl acetate
DRY SOLUTION	WASH organic phase with water
CONCENTRATE	DRY SOLUTION with MgSO4
PURIFY by chromatography	CONCENTRATE
MAKE SOLUTION	PURIFY by chromatography
FILTER	YIELD: ethyl 2-(1-(3-bromophenyl)-2-oxopyrrolidin-3-yl)-2-oxoacetate
YIELD: ethyl 2-(1-(3-bromophenyl)-2-oxopyrrolidin-3-yl)-2-oxoacetate	[END]
[END]	
