A	B
[START]	[START]
ADD THF at 25°C	ADD THF
STIR at 25°C for 2 h	ADD water
REMOVE	REFLUX for 16 h
ADD water	SET PH with HCl to 5
SET PH [DECREASE] to 5	CONCENTRATE organic phase
ADD HCl	EXTRACT with ethyl acetate
EXTRACT with ethyl acetate	DRY SOLUTION organic phase with Na2SO4
WASH extracts	FILTER
DRY SOLUTION with Na2SO4	CONCENTRATE filtrate
EVAPORATE	PURIFY by chromatography
YIELD: 2-[2,4-difluoro-3-[[2-fluoro-3-(3-fluorophenyl)-5-hydroxy-phenyl]methylamino]phenoxy]acetic acid	YIELD: 2-[2,4-difluoro-3-[[2-fluoro-3-(3-fluorophenyl)-5-hydroxy-phenyl]methylamino]phenoxy]acetic acid
[END]	[END]
