A	B
[START]	[START]
ADD Boc-Chg-OH	ADD HATU
ADD NMP	ADD Boc-Chg-OH
ADD HATU	ADD N-methylmorpholine
ADD N-methylmorpholine	ADD DCM
ADD DCM for 20 min	ADD NMP
STIR at 25°C for 48 h	STIR at 25°C for 16 h
ADD ethyl acetate	ADD ethyl acetate
WASH with water	WASH with water
DRY SOLUTION	SEPARATE organic phase
REMOVE solvent	DRY SOLUTION with MgSO4
PURIFY by chromatography	FILTER
YIELD: {1-cyclohexyl-2-[2-(6-fluoro-1-{2-[2-(2-methoxy-ethoxy)-ethoxy]-ethyl}-1h-indol-3-ylmethyl)-pyrrolidin-1-yl]-2-oxo-ethyl}-carbamic acid tert-butyl ester	EVAPORATE
[END]	PURIFY by chromatography
	YIELD: {1-cyclohexyl-2-[2-(6-fluoro-1-{2-[2-(2-methoxy-ethoxy)-ethoxy]-ethyl}-1h-indol-3-ylmethyl)-pyrrolidin-1-yl]-2-oxo-ethyl}-carbamic acid tert-butyl ester
	[END]
