A	B
[START]	[START]
ADD methanol	ADD methanol
ADD water	ADD iron powder
ADD iron powder	ADD water
BUBBLE N2	DEGAS
STIR at > 80°C for 2 h	HEAT to 65°C for 2 h
COOL to 25°C	COOL to 25°C
FILTER	CONCENTRATE
WASH	PARTITION
CONCENTRATE filtrate	SEPARATE
EXTRACT with ethyl acetate	DRY SOLUTION organic phase with Na2SO4
REPEAT 3 time(s)	CONCENTRATE
WASH extracts	YIELD: 4-((3r,4r)-1-(5-chloro-2-methoxypyridin-4-yl)-3-methylpiperidin-4-yloxy)aniline
DRY SOLUTION with Na2SO4	[END]
CONCENTRATE	
DRY [VACUUM] residue	
YIELD: 4-((3r,4r)-1-(5-chloro-2-methoxypyridin-4-yl)-3-methylpiperidin-4-yloxy)aniline	
[END]	
