A	B
[START]	[START]
ADD 3-amino-1-benzhydryl-pyrrolidin-2-one	ADD 3-amino-1-benzhydryl-pyrrolidin-2-one
ADD DCM	ADD DCM
ADD diphenylmethyl isocyanate	STIR at 0°C for 2 h
STIR at 25°C for 5 h	ADD diphenylmethyl isocyanate
REFLUX	ADD
REMOVE solvent	STIR at 25°C for 48 h
PURIFY by chromatography	REMOVE solvent
YIELD: 1-benzhydryl-3-(1-benzhydryl-2-oxo-pyrrolidin-3-yl)-urea	MAKE SOLUTION with DCM
[END]	WASH organic phase
	COLLECT
	DRY SOLUTION with MgSO4
	FILTER
	CONCENTRATE
	PURIFY by chromatography
	YIELD: 1-benzhydryl-3-(1-benzhydryl-2-oxo-pyrrolidin-3-yl)-urea
	[END]
