A	B
[START]	[START]
COMBINE	ADD 8-bromo-n-(3-hydroxy-3-methylbutan-2-yl)pyrido[4,3-b]pyrazine-2-carboxamide
ADD Pd(dppf)2Cl2	ADD dioxane
HEAT to 65°C for 2 h	ADD Pd(dppf)2Cl2
CONCENTRATE	ADD 2,4-dichlorophenylboronic acid
PURIFY by chromatography	ADD cesium carbonate
YIELD: 8-(2,4-dichlorophenyl)-n-(3-hydroxy-3-methylbutan-2-yl)pyrido[4,3-b]pyrazine-2-carboxamide	DEGAS
[END]	HEAT to > 80°C for 20 min
	COOL to 25°C
	ADD water
	EXTRACT with ethyl acetate
	REPEAT 2 time(s)
	WASH
	DRY SOLUTION with Na2SO4
	FILTER
	CONCENTRATE
	YIELD: 8-(2,4-dichlorophenyl)-n-(3-hydroxy-3-methylbutan-2-yl)pyrido[4,3-b]pyrazine-2-carboxamide
	[END]
