A	B
[START]	[START]
ADD N-[(allyloxy)carbonyl]-4-{{2-[(benzhydryloxy)carbonyl]phenyl}[tert-butoxy(oxo)acetyl]amino}-L-phenylalanine	ADD N-[(allyloxy)carbonyl]-4-{{2-[(benzhydryloxy)carbonyl]phenyl}[tert-butoxy(oxo)acetyl]amino}-L-phenylalanine
ADD TBTU	ADD HOBt
ADD HOBt	ADD TBTU
ADD DMF	ADD triethylamine
ADD methyl 2-(4-aminobutoxy)-6-hydroxybenzoate	ADD DMF at 25°C
ADD triethylamine	ADD methyl 2-(4-aminobutoxy)-6-hydroxybenzoate
STIR at 25°C for 2 h	ADD DMF for 20 min
ADD	STIR at 25°C for 48 h
ADD water	ADD water
EXTRACT with ethyl acetate	STIR for 20 min
REPEAT 2 time(s)	CONCENTRATE organic phase
WASH organic phase with NaHCO3	MAKE SOLUTION with NaHCO3
REPEAT 2 time(s)	WASH with ethyl acetate
DRY SOLUTION with Na2SO4	REPEAT 2 time(s)
FILTER	DRY SOLUTION organic phase with Na2SO4
CONCENTRATE	FILTER
PURIFY by chromatography	CONCENTRATE filtrate
YIELD: methyl 2-{4-[(n-[(allyloxy)carbonyl]-4-{{2-[(benzhydryloxy)carbonyl]phenyl}[tert-butoxy(oxo)acetyl]amino}-1-phenylalanyl)amino]butoxy}-6-hydroxybenzoate	PURIFY by chromatography
[END]	CONCENTRATE
	YIELD: methyl 2-{4-[(n-[(allyloxy)carbonyl]-4-{{2-[(benzhydryloxy)carbonyl]phenyl}[tert-butoxy(oxo)acetyl]amino}-1-phenylalanyl)amino]butoxy}-6-hydroxybenzoate
	[END]
