A	B
[START]	[START]
ADD DCM	ADD (R)-2-(methoxymethyl)pyrrolidine
ADD (R)-2-(methoxymethyl)pyrrolidine	ADD acetone
ADD sodium iodide	ADD sodium iodide
ADD acetone	REFLUX for 48 h
REFLUX for 48 h	REMOVE solvent
CONCENTRATE	MAKE SOLUTION with DCM
ADD ethyl acetate	WASH
WASH	REPEAT 2 time(s)
DRY SOLUTION with MgSO4	DRY SOLUTION organic phase with MgSO4
FILTER	CONCENTRATE
CONCENTRATE	TRITURATE with acetonitrile
YIELD: (s)-tert-butyl 2-(4-((2-(methoxymethyl)pyrrolidin-1-yl)methyl)benzamido)-4-(thiophen-2-yl)phenylcarbamate	YIELD: (s)-tert-butyl 2-(4-((2-(methoxymethyl)pyrrolidin-1-yl)methyl)benzamido)-4-(thiophen-2-yl)phenylcarbamate
[END]	[END]
