A	B
[START]	[START]
ADD (2S)-1-tert-butoxycarbonyl-5,5-dimethyl-pyrrolidine-2-carboxylic acid	ADD (2S)-1-tert-butoxycarbonyl-5,5-dimethyl-pyrrolidine-2-carboxylic acid
ADD THF at 25°C	ADD THF
HEAT to 65°C for 20 min	STIR at 25°C for 16 h
COOL	ADD brine
QUENCH with methanol	EXTRACT with ethyl acetate
CONCENTRATE	REPEAT 3 time(s)
YIELD: tert-butyl (5s)-5-(hydroxymethyl)-2,2-dimethyl-pyrrolidine-1-carboxylate	DRY SOLUTION extracts with Na2SO4
[END]	CONCENTRATE
	PURIFY by chromatography
	YIELD: tert-butyl (5s)-5-(hydroxymethyl)-2,2-dimethyl-pyrrolidine-1-carboxylate
	[END]
