A	B
[START]	[START]
ADD (methoxymethyl)triphenylphosphonium chloride	ADD (methoxymethyl)triphenylphosphonium chloride
MAKE SOLUTION	ADD THF
ADD THF at 0°C	STIR at 0°C
STIR at 0°C for 20 min	ADD THF
MAKE SOLUTION	STIR at 25°C for 2 h
ADD THF	ADD
STIR at 25°C for 48 h	ADD water
ADD water	STIR
COOL to 0°C	STAND at 25°C
STAND	EXTRACT with ethyl acetate
STIR at 25°C for 2 h	DRY SOLUTION organic phase with Na2SO4
EXTRACT	CONCENTRATE
SET PH with NaOH to 10	ADD
STIR	STIR at 25°C for 20 min
DRY SOLUTION extracts with Na2SO4	EVAPORATE solvent
CONCENTRATE	SET PH [INCREASE]
PURIFY by chromatography	10
YIELD: [4-(dimethylamino-phenyl-methyl)-cyclohexyl]-acetaldehyde	YIELD: [4-(dimethylamino-phenyl-methyl)-cyclohexyl]-acetaldehyde
[END]	[END]
