A	B
[START]	[START]
ADD methyl 2-methyl-5-(4-morpholinyl)-1h-benzimidazole-7-carboxylate	ADD methyl 2-methyl-5-(4-morpholinyl)-1h-benzimidazole-7-carboxylate
ADD 1-(bromomethyl)-2-fluoro-3-methylbenzene	ADD 1-(bromomethyl)-2-fluoro-3-methylbenzene
ADD DMF	ADD DMF
STIR at 65°C for 16 h	STIR at 65°C for 2 h
COOL	COOL to 25°C
ADD water	QUENCH
EXTRACT with ethyl acetate	ADD water
REPEAT 3 time(s)	EXTRACT with ethyl acetate
DRY SOLUTION organic phase with Na2SO4	WASH organic phase
CONCENTRATE	REPEAT 2 time(s)
PURIFY by chromatography	FILTER
YIELD: methyl 1-[(2-fluoro-3-methylphenyl)methyl]-2-methyl-6-(4-morpholinyl)-1h-benzimidazole-4-carboxylate	CONCENTRATE
[END]	PURIFY by chromatography
	YIELD: methyl 1-[(2-fluoro-3-methylphenyl)methyl]-2-methyl-6-(4-morpholinyl)-1h-benzimidazole-4-carboxylate
	[END]
