A	B
[START]	[START]
ADD methyl 3-[(3-benzyl-8-fluoroisoquinolin-2(1h)-yl)sulfonyl]propanoate	ADD Pd / C
ADD Pd / C	ADD methyl 3-[(3-benzyl-8-fluoroisoquinolin-2(1h)-yl)sulfonyl]propanoate
ADD ethanol	ADD ethanol
STIR at 25°C for 2 h	STIR at 25°C for 5 h
ADD diethyl ether	CONCENTRATE
FILTER	ADD diethyl ether at 0°C
CONCENTRATE filtrate	FILTER
YIELD: methyl 3-[(3-benzyl-8-fluoro-3,4-dihydroisoquinolin-2(1h)-yl)sulfonyl]propanoate	CONCENTRATE
[END]	PURIFY by chromatography
	YIELD: methyl 3-[(3-benzyl-8-fluoro-3,4-dihydroisoquinolin-2(1h)-yl)sulfonyl]propanoate
	[END]
