A	B
[START]	[START]
ADD perchloric acid	ADD perchloric acid
ADD ethanol	ADD sodium hypochlorite trap
BUBBLE sodium hypochlorite trap	ADD ethanol
STIR at 25°C for 48 h	STIR at 25°C for 2 h
COLLECT	ADD sodium hypochlorite trap
YIELD: 4-octahydro-(4-phenoxyphenyl)-1,2,3,6,7,8,9,9a-quinolizinium perchlorate	STIR at 25°C for 16 h
[END]	QUENCH with ammonium chloride
	EXTRACT with dichloromethane
	REPEAT 3 time(s)
	WASH organic phase with brine
	DRY SOLUTION with Na2SO4
	FILTER
	CONCENTRATE
	PURIFY by chromatography
	YIELD: 4-octahydro-(4-phenoxyphenyl)-1,2,3,6,7,8,9,9a-quinolizinium perchlorate
	[END]
