A	B
[START]	[START]
ADD {3-(4-chlorophenyl)-5-oxo-4-[(2s)-3,3,3-trifluoro-2-hydroxypropyl]-4,5-dihydro-1h-1,2,4-triazol-1-yl}acetonitrile	ADD {3-(4-chlorophenyl)-5-oxo-4-[(2s)-3,3,3-trifluoro-2-hydroxypropyl]-4,5-dihydro-1h-1,2,4-triazol-1-yl}acetonitrile
ADD methanol	ADD MTBE
ADD sodium methoxide	ADD sodium methoxide
ADD methanol	ADD methanol
STIR at 65°C for 2 h	ADD hexane
CONCENTRATE residue	STIR at 25°C for 2 h
ADD MTBE	ADD
CONCENTRATE	STIR for 20 min
STIR	EXTRACT with ethyl acetate
COOL to 25°C	DRY SOLUTION organic phase with MgSO4
STIR at 25°C for 2 h	FILTER
FILTER	CONCENTRATE filtrate
WASH with hexane	PURIFY by chromatography
DRY [VACUUM]	YIELD: methyl 2-{3-(4-chlorophenyl)-5-oxo-4-[(2s)-3,3,3-trifluoro-2-hydroxypropyl]-4,5-dihydro-1h-1,2,4-triazol-1-yl}ethanimidate
YIELD: methyl 2-{3-(4-chlorophenyl)-5-oxo-4-[(2s)-3,3,3-trifluoro-2-hydroxypropyl]-4,5-dihydro-1h-1,2,4-triazol-1-yl}ethanimidate	[END]
[END]	
