A	B
[START]	[START]
ADD 7-(2,2,2-trifluoro-N-methylacetamido)thieno[2,3-b]pyrazine-6-carboxylate	ADD 7-(2,2,2-trifluoro-N-methylacetamido)thieno[2,3-b]pyrazine-6-carboxylate
ADD potassium hydroxide	ADD ethanol
ADD THF	ADD THF
ADD ethanol	ADD potassium hydroxide
ADD water	STIR at 25°C for 20 min
STIR at 65°C for 48 h	ADD water
EVAPORATE	SET PH with NaOH to 7
ADD citric acid	EXTRACT with ethyl acetate
STIR for 20 min	DRY SOLUTION with Na2SO4
COLLECT	EVAPORATE
WASH with water	PURIFY by chromatography
DRY	YIELD: 7-(methylamino)thieno[2,3-b]pyrazine-6-carboxylic acid
YIELD: 7-(methylamino)thieno[2,3-b]pyrazine-6-carboxylic acid	[END]
[END]	
