A	B
[START]	[START]
ADD sodium hydrogen	ADD THF
ADD ethyl 2-diethoxy phosphate	ADD ethyl 2-diethoxy phosphate
ADD THF at 0°C	STIR at 65°C for 5 h
STIR at 0°C for 20 min	ADD water
ADD at 0°C	EXTRACT with ethyl acetate
STIR at 25°C for 2 h	REPEAT 3 time(s)
ADD water	WASH organic phase with brine
EXTRACT with ethyl acetate	REPEAT 2 time(s)
REPEAT 2 time(s)	DRY SOLUTION with Na2SO4
WASH organic phase with brine	REMOVE solvent
DRY SOLUTION with Na2SO4	PURIFY by chromatography
FILTER	YIELD: ethyl (e)-3-(4,4-difluorocyclohexyl)acrylate
EVAPORATE	[END]
PURIFY by chromatography	
YIELD: ethyl (e)-3-(4,4-difluorocyclohexyl)acrylate	
[END]	
