A	B
[START]	[START]
ADD methyltriphenylphosphonium bromide	ADD methyltriphenylphosphonium bromide
ADD THF	ADD THF
ADD n-BuLi	COOL
ADD hexane at < -10°C	ADD n-BuLi
STIR for 2 h	ADD hexane
ADD 6-bromo-2-(3-methoxypropyl)-2,3-dihydro-1h-inden-1-one	ADD 6-bromo-2-(3-methoxypropyl)-2,3-dihydro-1h-inden-1-one
ADD THF	STIR at 25°C for 2 h
STIR for 2 h	ADD ethyl acetate
HEAT to 25°C	WASH
STIR for 16 h	DRY SOLUTION organic phase with Na2SO4
ADD ethyl acetate	CONCENTRATE
SEPARATE aqueous phase	PURIFY by chromatography
EXTRACT with ethyl acetate	YIELD: 6-bromo-2-(3-methoxypropyl)-1-methylene-2,3-dihydro-1h-indene
WASH organic phase with brine	[END]
DRY SOLUTION with Na2SO4	
EVAPORATE	
PURIFY by chromatography	
YIELD: 6-bromo-2-(3-methoxypropyl)-1-methylene-2,3-dihydro-1h-indene	
[END]	
