A	B
[START]	[START]
ADD bis(pinacolato)diboron	ADD DMF
ADD potassium acetate	ADD 1-(4-bromo-2-methoxyphenyl)-1h-1,2,4-triazole
ADD Pd(dppf)Cl2.CH2Cl2	ADD bis(pinacolato)diboron
ADD 1-(4-bromo-2-methoxyphenyl)-1h-1,2,4-triazole	ADD potassium acetate
ADD DMF	ADD Pd(dppf)Cl2.CH2Cl2
STIR at > 80°C for 2 h	STIR at > 80°C for 2 h
COOL to 25°C	HEAT
QUENCH with water	COOL
EXTRACT with ethyl acetate	ADD
REPEAT 2 time(s)	WASH
WASH organic phase	DRY SOLUTION organic phase with Na2SO4
REPEAT 2 time(s)	CONCENTRATE
DRY SOLUTION with Na2SO4	PURIFY by chromatography
FILTER	YIELD: 1-(2-methoxy-4-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)phenyl)-1h-1,2,4-triazole
CONCENTRATE filtrate	[END]
PURIFY by chromatography	
YIELD: 1-(2-methoxy-4-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)phenyl)-1h-1,2,4-triazole	
[END]	
