A	B
[START]	[START]
ADD palladium acetate	ADD nitrogen 4-[4-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)-phenoxy]-piperidine-1-carboxylic acid tert-butyl ester
ADD triphenylphosphine	ADD 5-bromo-1h-pyrrolo[2,3-b]pyridine
ADD nitrogen 4-[4-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)-phenoxy]-piperidine-1-carboxylic acid tert-butyl ester	ADD DMF
ADD 5-bromo-1h-pyrrolo[2,3-b]pyridine	ADD Na2CO3
STIR for 20 min	STIR at 25°C
ADD DMF	ADD palladium acetate
ADD Na2CO3	ADD triphenylphosphine
HEAT to 65°C for 16 h	STIR at 65°C for 48 h
CONCENTRATE	COOL
MAKE SOLUTION with ethyl acetate	ADD ethyl acetate
WASH with Na2CO3	WASH
DRY SOLUTION with MgSO4	DRY SOLUTION with Na2SO4
PURIFY by chromatography	FILTER
YIELD: 4-[4-(1h-pyrrolo[2,3-b]pyridin-5-yl)-phenoxy]-piperidine-1-carboxylic acid	CONCENTRATE filtrate
[END]	PURIFY by chromatography
	YIELD: 4-[4-(1h-pyrrolo[2,3-b]pyridin-5-yl)-phenoxy]-piperidine-1-carboxylic acid
	[END]
