A	B
[START]	[START]
ADD 2-chloro-n-(3,5-difluoro-4-methoxyphenyl)acetamide	ADD 6-(trifluoromethyl)-1H-imidazo[4,5-c]pyridine-2-thiol
ADD 6-(trifluoromethyl)-1H-imidazo[4,5-c]pyridine-2-thiol	ADD 2-chloro-n-(3,5-difluoro-4-methoxyphenyl)acetamide
ADD sodium iodide	ADD acetonitrile
ADD triethylamine	STIR
ADD acetonitrile	ADD sodium iodide
STIR at 65°C for 2 h	ADD triethylamine
PURIFY by chromatography	REFLUX for 5 h
YIELD: n-(3,5-difluoro-4-methoxyphenyl)-2-((6-(trifluoromethyl)-3h-imidazo[4,5-c]pyridin-2-yl)thio)acetamide	CONCENTRATE
[END]	PURIFY by chromatography
	YIELD: n-(3,5-difluoro-4-methoxyphenyl)-2-((6-(trifluoromethyl)-3h-imidazo[4,5-c]pyridin-2-yl)thio)acetamide
	[END]
