A	B
[START]	[START]
ADD Pd / C	ADD (6r,7as)-6-azido-2-(4-trifluoromethoxy-phenyl)-hexahydro-pyrrolo[1,2-c]imidazol-3-one
ADD (6r,7as)-6-azido-2-(4-trifluoromethoxy-phenyl)-hexahydro-pyrrolo[1,2-c]imidazol-3-one	ADD Pd / C
ADD THF	ADD THF
STIR	STIR at 25°C for 2 h
FILTER	FILTER
CONCENTRATE	EVAPORATE solvent
PURIFY by chromatography	YIELD: (6r,7as)-6-amino-2-(4-trifluoromethoxy-phenyl)-hexahydro-pyrrolo[1,2-c]imidazol-3-one
YIELD: (6r,7as)-6-amino-2-(4-trifluoromethoxy-phenyl)-hexahydro-pyrrolo[1,2-c]imidazol-3-one	[END]
[END]	
