A	B
[START]	[START]
ADD 5-bromo-2-ethylisoindoline-1,3-dione	ADD 5-bromo-2-ethylisoindoline-1,3-dione
ADD DMF	ADD DMF
ADD tert-butyl acrylate	ADD trio-tolylphosphine
ADD DIPEA	ADD DIPEA
ADD Pd(OAc)2	ADD tert-butyl acrylate
ADD trio-tolylphosphine	ADD Pd(OAc)2
MICROWAVE at > 80°C for 2 h	ADD
EVAPORATE	BUBBLE N2
PURIFY by chromatography	HEAT to > 80°C for 48 h
YIELD: (e)-tert-butyl 3-(2-ethyl-1,3-dioxoisoindolin-5-yl)acrylate	COOL to 25°C
[END]	PARTITION
	WASH organic phase with brine
	DRY SOLUTION with MgSO4
	CONCENTRATE
	PURIFY by chromatography
	YIELD: (e)-tert-butyl 3-(2-ethyl-1,3-dioxoisoindolin-5-yl)acrylate
	[END]
