A	B
[START]	[START]
ADD [5-(1-[3-[(tert-butyldiphenylsilyl)oxy]propyl]cyclopropyl)-2-chlorophenyl]methanol	ADD [5-(1-[3-[(tert-butyldiphenylsilyl)oxy]propyl]cyclopropyl)-2-chlorophenyl]methanol
ADD chloroform	ADD chloroform
ADD MnO2	ADD MnO2
STIR at 65°C for 16 h	STIR at 25°C for 5 h
FILTER	FILTER
CONCENTRATE	CONCENTRATE
PURIFY by chromatography	TRITURATE with dichloromethane
YIELD: 5-(1-[3-[(tert-butyldiphenylsilyl)oxy]propyl]cyclopropyl)-2-chlorobenzaldehyde	CONCENTRATE
[END]	YIELD: 5-(1-[3-[(tert-butyldiphenylsilyl)oxy]propyl]cyclopropyl)-2-chlorobenzaldehyde
	[END]
