A	B
[START]	[START]
ADD ethyl 2-((1-(3-chlorophenyl)cyclopropyl)amino)pyrimidine-5-carboxylate	ADD ethyl 2-((1-(3-chlorophenyl)cyclopropyl)amino)pyrimidine-5-carboxylate
ADD hydrazine hydrate	ADD hydrazine hydrate
ADD ethanol at 25°C	ADD ethanol
STIR at > 80°C for 16 h	REFLUX for 5 h
COOL to 25°C	COOL to 25°C
CONCENTRATE	FILTER
REMOVE solvent	DRY [VACUUM]
ADD ethanol	YIELD: 2-((1-(3-chlorophenyl)cyclopropyl)amino)pyrimidine-5-carbohydrazide
STIR at 25°C	[END]
FILTER	
WASH with ethanol	
DRY	
YIELD: 2-((1-(3-chlorophenyl)cyclopropyl)amino)pyrimidine-5-carbohydrazide	
[END]	
