A	B
[START]	[START]
ADD methyl 2,6-dichloro-4-cyanonicotinate	ADD methyl 2,6-dichloro-4-cyanonicotinate
ADD 1H-indazol-6-amine	ADD 1H-indazol-6-amine
ADD triethylamine	ADD THF
ADD THF	ADD triethylamine
STIR at 65°C for 48 h	COOL to 0°C
ADD water	ADD THF
ADD ethyl acetate	HEAT to 25°C
WASH organic phase	STAND for 48 h
DRY SOLUTION with MgSO4	REMOVE solvent
EVAPORATE	MAKE SOLUTION with ethyl acetate
PURIFY by chromatography	WASH with water
YIELD: methyl 2-(1h-indazol-6-ylamino)-6-chloro-4-cyanonicotinate	REPEAT 2 time(s)
[END]	DRY SOLUTION organic phase with Na2SO4
	CONCENTRATE
	PURIFY by chromatography
	YIELD: methyl 2-(1h-indazol-6-ylamino)-6-chloro-4-cyanonicotinate
	[END]
