A	B
[START]	[START]
ADD 1-[3-(3-{1-azaspiro[4.5]decane-1-carbonyl}cyclohexyl)phenyl]-5-cyclopropyl-1h-pyrazole-4-carboxylic acid methyl ester	ADD 1-[3-(3-{1-azaspiro[4.5]decane-1-carbonyl}cyclohexyl)phenyl]-5-cyclopropyl-1h-pyrazole-4-carboxylic acid methyl ester
ADD ethanol	ADD NaOH
ADD NaOH	ADD ethanol
PARTITION	STIR at 25°C for 48 h
EXTRACT with water	ADD HCl
REMOVE	FILTER
SET PH with HCl	WASH with water
EXTRACT with ethyl acetate	DRY [VACUUM]
REPEAT 2 time(s)	YIELD: 1-[3-(3-{1-azaspiro[4.5]decane-1-carbonyl}cyclohexyl)phenyl]-5-cyclopropyl-1h-pyrazole-4-carboxylic acid
DRY SOLUTION organic phase with MgSO4	[END]
FILTER	
CONCENTRATE	
YIELD: 1-[3-(3-{1-azaspiro[4.5]decane-1-carbonyl}cyclohexyl)phenyl]-5-cyclopropyl-1h-pyrazole-4-carboxylic acid	
[END]	
