A	B
[START]	[START]
ADD methyl 3-(2,4-dimethyl-1h-imidazol-5-yl)-4-methylbenzoate	ADD methyl 3-(2,4-dimethyl-1h-imidazol-5-yl)-4-methylbenzoate
ADD methanol	ADD methanol
ADD NaOH	ADD NaOH
STIR at 25°C for 2 h	STIR at 25°C for 20 min
REMOVE solvent	SET PH to 2
COOL to 0°C	ADD HCl
SET PH with HCl to 2	SET PH [DECREASE]
CONCENTRATE	EXTRACT with ethyl acetate
ADD methanol	REPEAT 3 time(s)
STIR at 25°C for 20 min	WASH organic phase with brine
FILTER	DRY SOLUTION with Na2SO4
CONCENTRATE filtrate	CONCENTRATE
YIELD: 3-(2,4-dimethyl-1h-imidazol-5-yl)-4-methylbenzoic acid hydrochloride	YIELD: 3-(2,4-dimethyl-1h-imidazol-5-yl)-4-methylbenzoic acid hydrochloride
[END]	[END]
