A	B
[START]	[START]
ADD [(2s,4r)-4-[tert-butyl(diphenyl)silyl]oxy-1-methyl-pyrrolidin-2-yl]methanol	ADD THF
ADD THF	ADD sodium tert-butoxide
ADD sodium tert-butoxide at 0°C	ADD [(2s,4r)-4-[tert-butyl(diphenyl)silyl]oxy-1-methyl-pyrrolidin-2-yl]methanol
ADD benzyl (2s)-2-(cyanomethyl)-4-[7-[3-fluoro-2-(trifluoromethyl)phenyl]-2-methylsulfinyl-6,8-dihydro-5h-pyrido[3,4-d]pyrimidin-4-yl]piperazine-1-carboxylate	ADD benzyl (2s)-2-(cyanomethyl)-4-[7-[3-fluoro-2-(trifluoromethyl)phenyl]-2-methylsulfinyl-6,8-dihydro-5h-pyrido[3,4-d]pyrimidin-4-yl]piperazine-1-carboxylate
STIR at 0°C for 20 min	STIR for 20 min
ADD	ADD
EXTRACT with ethyl acetate	STIR at 25°C for 48 h
REPEAT 3 time(s)	QUENCH with water
WASH extracts with brine	EXTRACT with ethyl acetate
REPEAT 1 time(s)	DRY SOLUTION organic phase with Na2SO4
DRY SOLUTION with Na2SO4	CONCENTRATE
FILTER	YIELD: benzyl (2s)-4-[2-[[(2s,4r)-4-[tert-butyl(diphenyl)silyl]oxy-1-methyl-pyrrolidin-2-yl]methoxy]-7-[3-fluoro-2-(trifluoromethyl)phenyl]-6,8-dihydro-5h-pyrido[3,4-d]pyrimidin-4-yl]-2-(cyanomethyl)piperazine-1-carboxylate
CONCENTRATE	[END]
PURIFY by chromatography	
YIELD: benzyl (2s)-4-[2-[[(2s,4r)-4-[tert-butyl(diphenyl)silyl]oxy-1-methyl-pyrrolidin-2-yl]methoxy]-7-[3-fluoro-2-(trifluoromethyl)phenyl]-6,8-dihydro-5h-pyrido[3,4-d]pyrimidin-4-yl]-2-(cyanomethyl)piperazine-1-carboxylate	
[END]	
