A	B
[START]	[START]
ADD methyl 2-(4-fluorophenyl)-3-(4-(pyridin-2-yl)-5,6-dihydropyridin-1(2h)-yl)quinoxaline-6-carboxylate	ADD methyl 2-(4-fluorophenyl)-3-(4-(pyridin-2-yl)-5,6-dihydropyridin-1(2h)-yl)quinoxaline-6-carboxylate
ADD ethyl acetate	ADD PtO2
ADD PtO2	ADD water
STIR at 25°C for 2 h	STIR at 25°C for 48 h
ADD water	ADD ethyl acetate
EXTRACT with dichloromethane	EXTRACT with ethyl acetate
REPEAT 3 time(s)	DRY SOLUTION with Na2SO4
COMBINE	REMOVE solvent
DRY SOLUTION with MgSO4	PURIFY by chromatography
CONCENTRATE residue	YIELD: methyl 2-(4-fluorophenyl)-3-[4-(pyridin-2-yl)piperidin-1-yl]quinoxaline-6-carboxylate
PURIFY by chromatography	[END]
YIELD: methyl 2-(4-fluorophenyl)-3-[4-(pyridin-2-yl)piperidin-1-yl]quinoxaline-6-carboxylate	
[END]	
