A	B
[START]	[START]
ADD ((r)-1-(6-chloro-7-fluoro-2-oxo-1,2-dihydroquinolin-3-yl)ethyl)-2-methylpropane-2-sulfinamide	ADD methanol
ADD methanol	ADD dioxane
COOL	ADD HCl
ADD HCl	ADD ((r)-1-(6-chloro-7-fluoro-2-oxo-1,2-dihydroquinolin-3-yl)ethyl)-2-methylpropane-2-sulfinamide
ADD dioxane	STIR at > 80°C for 5 h
STIR for 20 min	COOL to 25°C
EVAPORATE solvent	CONCENTRATE
TRITURATE with ethyl ether	ADD
COLLECT	EXTRACT with ethyl acetate
WASH with ethyl ether	REPEAT 2 time(s)
YIELD: 3-(1-aminoethyl)-6-chloro-7-fluoroquinolin-2(1h)-one hydrochloride	WASH organic phase
[END]	DRY SOLUTION with Na2SO4
	PURIFY by chromatography
	YIELD: 3-(1-aminoethyl)-6-chloro-7-fluoroquinolin-2(1h)-one hydrochloride
	[END]
