A	B
[START]	[START]
ADD ethyl (r)-5-(2-(2,5-difluorophenyl)pyrrolidin-1-yl)pyrazolo[1,5-a]pyrimidine-3-carboxylate	ADD LiOH
ADD ethanol	ADD ethyl (r)-5-(2-(2,5-difluorophenyl)pyrrolidin-1-yl)pyrazolo[1,5-a]pyrimidine-3-carboxylate
HEAT to > 80°C for 20 min	ADD ethanol
ADD LiOH	REFLUX for 5 h
HEAT to > 80°C for 16 h	CONCENTRATE
COOL	MAKE SOLUTION with water
CONCENTRATE	EXTRACT with dichloromethane
ADD water	DRY SOLUTION with Na2SO4
WASH with ethyl acetate	CONCENTRATE
SET PH [DECREASE] to 2	PURIFY by chromatography
EXTRACT	WASH solid
DRY SOLUTION	YIELD: (r)-5-(2-(2,5-difluorophenyl)pyrrolidin-1-yl)pyrazolo[1,5-a]pyrimidine-3-carboxylic acid
FILTER	[END]
CONCENTRATE	
YIELD: (r)-5-(2-(2,5-difluorophenyl)pyrrolidin-1-yl)pyrazolo[1,5-a]pyrimidine-3-carboxylic acid	
[END]	
