A	B
[START]	[START]
ADD 4-{[cyclohexyl(2-methyl-5-phenylthiophen-3-yl)methyl]amino}benzoic acid	ADD 4-{[cyclohexyl(2-methyl-5-phenylthiophen-3-yl)methyl]amino}benzoic acid
ADD ethyl 3-(methylamino)propanoate	ADD ethyl 3-(methylamino)propanoate
ADD 1-hydroxybenzotriazole hydrate	ADD EDCI
ADD triethylamine	ADD 1-hydroxybenzotriazole hydrate
ADD DMF	ADD triethylamine
ADD EDCI	ADD DMF
STIR at 25°C for 16 h	STIR at 25°C for 5 h
ADD HCl	ADD HCl
QUENCH	EXTRACT with ethyl acetate
EXTRACT with ethyl acetate	WASH organic phase with brine
WASH extracts with brine	DRY SOLUTION with MgSO4
DRY SOLUTION with MgSO4	EVAPORATE solvent
CONCENTRATE	ADD
PURIFY by chromatography	STIR at 25°C for 2 h
ADD	ADD water
STIR at 25°C for 2 h	FILTER
CONCENTRATE	YIELD: 3-{[(4-{[cyclohexyl(2-methyl-5-phenylthiophen-3-yl)methyl]amino}phenyl)carbonyl](methyl)amino}propanoic acid
MAKE SOLUTION	[END]
ADD HCl at 0°C	
FILTER	
YIELD: 3-{[(4-{[cyclohexyl(2-methyl-5-phenylthiophen-3-yl)methyl]amino}phenyl)carbonyl](methyl)amino}propanoic acid	
[END]	
