A	B
[START]	[START]
ADD methyl 6-oxo-1,6-dihydropyridine-2-carboxylate	ADD methyl 6-oxo-1,6-dihydropyridine-2-carboxylate
HEAT to > 80°C for 16 h	ADD POCl3
REMOVE	REFLUX for 2 h
ADD methanol	COOL to 25°C
COOL	EVAPORATE solvent
ADD	ADD water
REMOVE	STIR
ADD	FILTER
COOL	WASH with water
COLLECT solid	ADD
MAKE SOLUTION	WASH with brine
WASH organic phase with water	DRY SOLUTION with MgSO4
EXTRACT	CONCENTRATE
COMBINE organic phase	PURIFY by chromatography
DRY SOLUTION with Na2SO4	YIELD: 3-[(6-butoxypyridin-2-yl)methyl]-2-thioxo-1,2,3,7-tetrahydro-6h-purin-6-one
FILTER	[END]
CONCENTRATE	
YIELD: 3-[(6-butoxypyridin-2-yl)methyl]-2-thioxo-1,2,3,7-tetrahydro-6h-purin-6-one	
[END]	
