A	B
[START]	[START]
ADD DCM	ADD triethylamine
ADD triethylamine	ADD DCM
ADD cyclopropanecarbonyl chloride at 25°C	ADD cyclopropanecarbonyl chloride
STIR at 25°C for 2 h	STIR at < -10°C for 2 h
WASH with NaHCO3	ADD NaHCO3
COLLECT organic phase	COOL
DRY SOLUTION	ADD
CONCENTRATE	STIR at 25°C for 20 min
PURIFY by chromatography	EXTRACT with dichloromethane
YIELD: ((1r,5s)-3-(2-chloropyrimidin-4-yl)-3,8-diazabicyclo[3.2.1]octan-8-yl)(cyclopropyl)methanone	DRY SOLUTION organic phase with Na2SO4
[END]	FILTER
	CONCENTRATE
	PURIFY by chromatography
	YIELD: ((1r,5s)-3-(2-chloropyrimidin-4-yl)-3,8-diazabicyclo[3.2.1]octan-8-yl)(cyclopropyl)methanone
	[END]
