A	B
[START]	[START]
ADD tert-butyl n-[5-bromo-3-(5-phenyl-1,3,4-oxadiazol-2-yl)pyrazin-2-yl]-n-tert-butoxycarbonyl-carbamate	ADD DMF
ADD DMF	ADD tert-butyl n-[5-bromo-3-(5-phenyl-1,3,4-oxadiazol-2-yl)pyrazin-2-yl]-n-tert-butoxycarbonyl-carbamate
ADD tert-butyl 4-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)-1,2,3,6-tetrahydropyridine-1-carboxylate	ADD tert-butyl 4-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)-1,2,3,6-tetrahydropyridine-1-carboxylate
ADD Pd(PPh3)2Cl2	ADD Na2CO3
ADD Na2CO3	ADD Pd(PPh3)2Cl2
HEAT to > 80°C for 20 min	BUBBLE
COOL to 25°C	ADD
REMOVE solvent	HEAT to > 80°C for 16 h
ADD	COOL to 25°C
WASH with water	PARTITION
DRY SOLUTION with MgSO4	DRY SOLUTION extracts with Na2SO4
FILTER	FILTER
EVAPORATE	CONCENTRATE
PURIFY by chromatography	YIELD: tert-butyl 4-(5-(bis(tert-butoxycarbonyl)amino)-6-(5-phenyl-1,3,4-oxadiazol-2-yl)pyrazin-2-yl)-5,6-dihydropyridine-1(2h)-carboxylate
YIELD: tert-butyl 4-(5-(bis(tert-butoxycarbonyl)amino)-6-(5-phenyl-1,3,4-oxadiazol-2-yl)pyrazin-2-yl)-5,6-dihydropyridine-1(2h)-carboxylate	[END]
[END]	
