A	B
[START]	[START]
ADD n-butyllithium	ADD THF
ADD hexane	ADD tert-butyl 4-bromo-3-fluorobenzoate
ADD tert-butyl 4-bromo-3-fluorobenzoate	ADD n-butyllithium
ADD THF at < -10°C	ADD hexane for 2 h
STIR for 20 min	ADD
ADD	SET PH with HCl
HEAT to 25°C	EXTRACT with ethyl acetate
STIR	DRY SOLUTION organic phase with Na2SO4
PARTITION with Na2CO3	CONCENTRATE
SET PH [DECREASE]	PURIFY by chromatography
ADD HCl	YIELD: 4-(tert-butoxycarbonyl)-2-fluorobenzoic acid
EXTRACT with ethyl acetate	[END]
DRY SOLUTION with MgSO4	
FILTER	
CONCENTRATE	
YIELD: 4-(tert-butoxycarbonyl)-2-fluorobenzoic acid	
[END]	
