A	B
[START]	[START]
ADD methyl 2-(2-methyl-1h-indol-5-yl)-3-[(2s)-2-methylpyrrolidin-1-yl]quinoxaline-6-carboxylate	ADD methyl 2-(2-methyl-1h-indol-5-yl)-3-[(2s)-2-methylpyrrolidin-1-yl]quinoxaline-6-carboxylate
ADD methanol	ADD methanol
ADD water	ADD water
ADD NaOH	ADD NaOH
STIR at 25°C for 48 h	STIR at 25°C
CONCENTRATE	ADD water
MAKE SOLUTION with water	SET PH with AcOH to 5
SET PH with AcOH to 5	FILTER
FILTER	YIELD: 2-(2-methyl-1h-indol-5-yl)-3-[(2s)-2-methylpyrrolidin-1-yl]quinoxaline-6-carboxylic acid
YIELD: 2-(2-methyl-1h-indol-5-yl)-3-[(2s)-2-methylpyrrolidin-1-yl]quinoxaline-6-carboxylic acid	[END]
[END]	
