A	B
[START]	[START]
ADD 4-(bromomethyl)-2-fluoro-1-methylbenzene	ADD TFA
ADD THF	ADD THF
ADD cesium carbonate	ADD water for 2 h
STIR at 25°C for 5 h	HEAT to > 80°C for 2 h
FILTER	COOL to 0°C
ADD TFA	PURIFY by chromatography
ADD water	COMBINE
STIR at 25°C for 16 h	CONCENTRATE
EVAPORATE	YIELD: {(1r,2s,4r)-4-[(5-{[1-(3-fluoro-4-methylbenzyl)-1h-pyrazol-3-yl]carbonyl}pyrimidin-4-yl)amino]-2-hydroxycyclopentyl}methyl sulfamate
ADD	[END]
STIR at 25°C for 2 h	
FILTER	
PURIFY by chromatography	
YIELD: {(1r,2s,4r)-4-[(5-{[1-(3-fluoro-4-methylbenzyl)-1h-pyrazol-3-yl]carbonyl}pyrimidin-4-yl)amino]-2-hydroxycyclopentyl}methyl sulfamate	
[END]	
