A	B
[START]	[START]
ADD N-(4-(5-((1R,2S)-2-(tert-butyldimethylsilyloxy)-1-(3-chloro-4-cyano-2-methylphenylamino)propyl)-1,3,4-oxadiazol-2-yl)phenyl)acetamide	ADD N-(4-(5-((1R,2S)-2-(tert-butyldimethylsilyloxy)-1-(3-chloro-4-cyano-2-methylphenylamino)propyl)-1,3,4-oxadiazol-2-yl)phenyl)acetamide
ADD THF	ADD THF
ADD TBAF	ADD TBAF
ADD at < -10°C for 20 min	ADD THF
ADD	STIR at 25°C for 20 min
HEAT to 25°C for 2 h	ADD
QUENCH	CONCENTRATE
PARTITION	PARTITION
EXTRACT with ethyl acetate	REPEAT 3 time(s)
DRY SOLUTION extracts with Na2SO4	WASH organic phase with brine
FILTER	DRY SOLUTION with Na2SO4
CONCENTRATE	FILTER
PURIFY by chromatography	CONCENTRATE filtrate
YIELD: n-(4-(5-((1r,2s)-1-(3-chloro-4-cyano-2-methylphenylamino)-2-hydroxypropyl)-1,3,4-oxadiazol-2-yl)phenyl)acetamide	PURIFY by chromatography
[END]	YIELD: n-(4-(5-((1r,2s)-1-(3-chloro-4-cyano-2-methylphenylamino)-2-hydroxypropyl)-1,3,4-oxadiazol-2-yl)phenyl)acetamide
	[END]
