A	B
[START]	[START]
ADD DIPEA	ADD DIPEA
ADD THF	ADD THF
ADD acryloyl chloride at 0°C for 20 min	ADD acryloyl chloride at 0°C
STIR at 0°C for 2 h	HEAT to 25°C for 48 h
QUENCH with water	CONCENTRATE
STIR for 20 min	PURIFY by chromatography
SEPARATE	YIELD: n-(3-(2-(3-fluoro-4-(2-methoxyethoxy)phenylamino)-7h-pyrrolo[2,3-d]pyrimidin-4-yloxy)phenyl)acrylamide
REMOVE solvent	[END]
PURIFY by chromatography	
YIELD: n-(3-(2-(3-fluoro-4-(2-methoxyethoxy)phenylamino)-7h-pyrrolo[2,3-d]pyrimidin-4-yloxy)phenyl)acrylamide	
[END]	
