A	B
[START]	[START]
ADD 1-(4-bromophenyl)-2-oxopyrrolidin-3-yl methanesulfonate	ADD 3-methoxyaniline
ADD THF	ADD 1-(4-bromophenyl)-2-oxopyrrolidin-3-yl methanesulfonate
ADD 3-methoxyaniline	ADD THF
HEAT to > 80°C for 48 h	STIR for 20 min
COOL to 25°C	ADD
ADD ethyl acetate	STIR at > 80°C for 2 h
WASH	ADD water
DRY SOLUTION with Na2SO4	ADD ethyl acetate
FILTER	WASH with water
CONCENTRATE	DRY SOLUTION organic phase with Na2SO4
YIELD: (r)-1-(4-bromophenyl)-3-((3-methoxyphenyl)amino)pyrrolidin-2-one	CONCENTRATE residue
[END]	PURIFY by chromatography
	YIELD: (r)-1-(4-bromophenyl)-3-((3-methoxyphenyl)amino)pyrrolidin-2-one
	[END]
