A	B
[START]	[START]
ADD 3-[2-(2-methylbenzoimidazol-1-yl)-9-methyl-6-morpholin-4-yl-9h-purin-8-ylmethyl]azetidine-1-carboxylic acid tert-butyl ester	ADD 3-[2-(2-methylbenzoimidazol-1-yl)-9-methyl-6-morpholin-4-yl-9h-purin-8-ylmethyl]azetidine-1-carboxylic acid tert-butyl ester
ADD DCM	ADD DCM
ADD TFA	ADD TFA
STIR for 2 h	STIR at 25°C for 2 h
LOAD	CONCENTRATE
WASH with NH3	REMOVE
YIELD: 8-azetidin-3-ylmethyl-2-(2-methylbenzoimidazol-1-yl)-9-methyl-6-morpholin-4-yl-9h-purine	COOL
[END]	LOAD
	WASH with NH3
	COMBINE fractions
	EVAPORATE solvent
	WASH solid
	REPEAT 2 time(s)
	DRY [VACUUM]
	YIELD: 8-azetidin-3-ylmethyl-2-(2-methylbenzoimidazol-1-yl)-9-methyl-6-morpholin-4-yl-9h-purine
	[END]
