A	B
[START]	[START]
COMBINE	COMBINE
ADD Pd(dppf)2Cl2	ADD Pd(dppf)2Cl2
HEAT to 65°C for 2 h	ADD at > 80°C for 2 h
CONCENTRATE	ADD dioxane
PURIFY by chromatography	STIR at 25°C for 16 h
YIELD: 8-(2,4-dichlorophenyl)-n-(3-hydroxy-3-methylbutan-2-yl)pyrido[4,3-b]pyrazine-2-carboxamide	ADD
[END]	EXTRACT
	DRY SOLUTION extracts with MgSO4
	CONCENTRATE
	PURIFY by chromatography
	PURIFY by chromatography
	PURIFY by chromatography
	YIELD: 8-(2,4-dichlorophenyl)-n-(3-hydroxy-3-methylbutan-2-yl)pyrido[4,3-b]pyrazine-2-carboxamide
	[END]
