A	B
[START]	[START]
ADD 6-(4-Fluoro-3-methylphenyl)-2-isobutyl-4-methanesulfonyloxymethyl-2H-pyridazin-3-one	ADD 6-(4-Fluoro-3-methylphenyl)-2-isobutyl-4-methanesulfonyloxymethyl-2H-pyridazin-3-one
ADD piperidine	ADD piperidine
ADD ethanol	ADD ethanol
HEAT to 65°C for 2 h	STIR under reflux for 5 h
STIR	COOL
DISTIL	PURIFY by chromatography
PURIFY by chromatography	YIELD: 6-(4-fluoro-3-methylphenyl)-2-isobutyl-4-(piperidino)methyl-2h-pyridazin-3-one
YIELD: 6-(4-fluoro-3-methylphenyl)-2-isobutyl-4-(piperidino)methyl-2h-pyridazin-3-one	[END]
[END]	
