A	B
[START]	[START]
ADD sodium hydride	ADD sodium hydride
ADD THF	ADD THF
ADD 1-(3-bromophenyl)pyrrolidin-2-one	ADD diethyl oxalate
ADD diethyl oxalate	ADD 1-(3-bromophenyl)pyrrolidin-2-one
ADD	STIR at 25°C for 48 h
REFLUX for 5 h	ADD THF
COOL to 25°C	QUENCH with NaHCO3
STIR for 16 h	EXTRACT
ADD acetic acid	FILTER organic phase
STIR at 25°C for 2 h	TRITURATE with ethyl ether
PARTITION	PURIFY by chromatography
SET PH to 2	YIELD: ethyl 2-(1-(3-bromophenyl)-2-oxopyrrolidin-3-yl)-2-oxoacetate
SEPARATE	[END]
WASH organic phase with brine	
DRY SOLUTION	
CONCENTRATE	
PURIFY by chromatography	
MAKE SOLUTION	
FILTER	
YIELD: ethyl 2-(1-(3-bromophenyl)-2-oxopyrrolidin-3-yl)-2-oxoacetate	
[END]	
