A	B
[START]	[START]
ADD methanol	ADD iron powder
ADD water	ADD ethyl acetate
ADD iron powder	ADD water
BUBBLE N2	MICROWAVE
STIR at > 80°C for 2 h	HEAT
COOL to 25°C	FILTER
FILTER	SEPARATE
WASH	WASH extracts
CONCENTRATE filtrate	DRY SOLUTION with MgSO4
EXTRACT with ethyl acetate	FILTER
REPEAT 3 time(s)	CONCENTRATE
WASH extracts	YIELD: 4-((3r,4r)-1-(5-chloro-2-methoxypyridin-4-yl)-3-methylpiperidin-4-yloxy)aniline
DRY SOLUTION with Na2SO4	[END]
CONCENTRATE	
DRY [VACUUM] residue	
YIELD: 4-((3r,4r)-1-(5-chloro-2-methoxypyridin-4-yl)-3-methylpiperidin-4-yloxy)aniline	
[END]	
