A	B
[START]	[START]
ADD 1-(5-bromo-2-hydroxyphenyl)ethanone	ADD 1-(5-bromo-2-hydroxyphenyl)ethanone
ADD pyridine	ADD pyridine
ADD 4-methoxybenzoyl chloride	ADD 4-methoxybenzoyl chloride
ADD at 25°C for 20 min	ADD
ADD HCl	STIR at 25°C for 2 h
COOL to 0°C	EVAPORATE
STIR	ADD HCl
FILTER	EXTRACT with chloroform
WASH with water	REPEAT 3 time(s)
YIELD: 4-methoxybenzoic acid 2-acetyl-4-bromophenyl ester	DRY SOLUTION extracts
[END]	EVAPORATE
	PURIFY by chromatography
	YIELD: 4-methoxybenzoic acid 2-acetyl-4-bromophenyl ester
	[END]
