A	B
[START]	[START]
ADD 1-(2-fluoro-4-iodophenyl)-3-methyl-6-methylamino-1H-pyrimidine-2,4-dione	ADD diphenyl ether
ADD diethyl malonate	HEAT to 65°C for 20 min
ADD diphenyl ether	ADD diethyl malonate
HEAT to > 80°C	DISTIL
STIR for 2 h	ADD 1-(2-fluoro-4-iodophenyl)-3-methyl-6-methylamino-1H-pyrimidine-2,4-dione
CONCENTRATE	STIR at 25°C for 2 h
PURIFY by chromatography	COOL
YIELD: 3-methyl-1-(2-fluoro-4-iodophenyl)-5-hydroxy-8-methylpyrido[2,3-d]pyrimidine-2,4,7(1h,3h,8h)-trione	CRYSTALLISE
[END]	COLLECT
	STAND at < -10°C for 2 h
	COLLECT
	WASH
	REPEAT 3 time(s)
	YIELD: 3-methyl-1-(2-fluoro-4-iodophenyl)-5-hydroxy-8-methylpyrido[2,3-d]pyrimidine-2,4,7(1h,3h,8h)-trione
	[END]
