A	B
[START]	[START]
ADD DCM	ADD sodium iodide
ADD (R)-2-(methoxymethyl)pyrrolidine	ADD DCM
ADD sodium iodide	ADD (R)-2-(methoxymethyl)pyrrolidine
ADD acetone	ADD acetone
REFLUX for 48 h	REFLUX
CONCENTRATE	STIR for 2 h
ADD ethyl acetate	FILTER
WASH	PURIFY by chromatography
DRY SOLUTION with MgSO4	YIELD: (s)-tert-butyl 2-(4-((2-(methoxymethyl)pyrrolidin-1-yl)methyl)benzamido)-4-(thiophen-2-yl)phenylcarbamate
FILTER	[END]
CONCENTRATE	
YIELD: (s)-tert-butyl 2-(4-((2-(methoxymethyl)pyrrolidin-1-yl)methyl)benzamido)-4-(thiophen-2-yl)phenylcarbamate	
[END]	
