A	B
[START]	[START]
ADD Pd / C	ADD Pd / C
ADD (6r,7as)-6-azido-2-(4-trifluoromethoxy-phenyl)-hexahydro-pyrrolo[1,2-c]imidazol-3-one	ADD THF
ADD THF	ADD (6r,7as)-6-azido-2-(4-trifluoromethoxy-phenyl)-hexahydro-pyrrolo[1,2-c]imidazol-3-one
STIR	DEGAS
FILTER	STIR for 5 h
CONCENTRATE	FILTER
PURIFY by chromatography	COMBINE
YIELD: (6r,7as)-6-amino-2-(4-trifluoromethoxy-phenyl)-hexahydro-pyrrolo[1,2-c]imidazol-3-one	CONCENTRATE filtrate
[END]	PURIFY by chromatography
	YIELD: (6r,7as)-6-amino-2-(4-trifluoromethoxy-phenyl)-hexahydro-pyrrolo[1,2-c]imidazol-3-one
	[END]
