A	B
[START]	[START]
ADD 2-chloro-n-(3,5-difluoro-4-methoxyphenyl)acetamide	ADD sodium iodide
ADD 6-(trifluoromethyl)-1H-imidazo[4,5-c]pyridine-2-thiol	ADD 2-chloro-n-(3,5-difluoro-4-methoxyphenyl)acetamide
ADD sodium iodide	ADD 6-(trifluoromethyl)-1H-imidazo[4,5-c]pyridine-2-thiol
ADD triethylamine	ADD triethylamine
ADD acetonitrile	ADD acetonitrile
STIR at 65°C for 2 h	STIR at > 80°C for 16 h
PURIFY by chromatography	EVAPORATE
YIELD: n-(3,5-difluoro-4-methoxyphenyl)-2-((6-(trifluoromethyl)-3h-imidazo[4,5-c]pyridin-2-yl)thio)acetamide	PARTITION with NaHCO3
[END]	EXTRACT with ethyl acetate
	REPEAT 3 time(s)
	DRY SOLUTION with Na2SO4
	FILTER
	EVAPORATE filtrate
	YIELD: n-(3,5-difluoro-4-methoxyphenyl)-2-((6-(trifluoromethyl)-3h-imidazo[4,5-c]pyridin-2-yl)thio)acetamide
	[END]
