A	B
[START]	[START]
ADD sodium hydrogen	ADD THF
ADD ethyl 2-diethoxy phosphate	ADD ethyl 2-diethoxy phosphate
ADD THF at 0°C	ADD sodium hydrogen
STIR at 0°C for 20 min	STIR at 25°C for 48 h
ADD at 0°C	ADD water
STIR at 25°C for 2 h	ADD for 20 min
ADD water	STIR at 65°C
EXTRACT with ethyl acetate	EXTRACT with ethyl ether
REPEAT 2 time(s)	WASH organic phase
WASH organic phase with brine	DRY SOLUTION
DRY SOLUTION with Na2SO4	EVAPORATE
FILTER	YIELD: ethyl (e)-3-(4,4-difluorocyclohexyl)acrylate
EVAPORATE	[END]
PURIFY by chromatography	
YIELD: ethyl (e)-3-(4,4-difluorocyclohexyl)acrylate	
[END]	
