A	B
[START]	[START]
ADD methyl 3-[(3-benzyl-8-fluoroisoquinolin-2(1h)-yl)sulfonyl]propanoate	ADD methyl 3-[(3-benzyl-8-fluoroisoquinolin-2(1h)-yl)sulfonyl]propanoate
ADD Pd / C	ADD ethanol
ADD ethanol	ADD Pd / C
STIR at 25°C for 2 h	STIR at 25°C for 2 h
ADD diethyl ether	FILTER
FILTER	WASH
CONCENTRATE filtrate	CONCENTRATE
YIELD: methyl 3-[(3-benzyl-8-fluoro-3,4-dihydroisoquinolin-2(1h)-yl)sulfonyl]propanoate	PURIFY by chromatography
[END]	CONCENTRATE
	YIELD: methyl 3-[(3-benzyl-8-fluoro-3,4-dihydroisoquinolin-2(1h)-yl)sulfonyl]propanoate
	[END]
