A	B
[START]	[START]
ADD 4-[5-(4-t-butylphenyl)-1,3,4-oxadiazol-2-yl]-3-nitrobenzoic acid	ADD 4-[5-(4-t-butylphenyl)-1,3,4-oxadiazol-2-yl]-3-nitrobenzoic acid
ADD Pd / C	ADD THF
ADD THF	ADD Pd / C
STIR at 25°C for 20 min	STIR at 25°C for 16 h
FILTER	FILTER
CONCENTRATE filtrate	EVAPORATE filtrate
PURIFY by chromatography	ADD THF
RECRYSTALLISATION	WASH with brine
YIELD: 3-amino-4-[5-(4-t-butylphenyl)-1,3,4-oxadiazol-2-yl]benzoic acid	DRY SOLUTION with MgSO4
[END]	REMOVE solvent
	PURIFY by chromatography
	YIELD: 3-amino-4-[5-(4-t-butylphenyl)-1,3,4-oxadiazol-2-yl]benzoic acid
	[END]
