A	B
[START]	[START]
ADD N-((1R,5S,6R)-3-Azabicyclo[3.1.0]hexan-6-ylmethyl)-N-methyl-7H-pyrrolo[2,3-d]pyrimidin-4-amine hydrochloride	ADD N-((1R,5S,6R)-3-Azabicyclo[3.1.0]hexan-6-ylmethyl)-N-methyl-7H-pyrrolo[2,3-d]pyrimidin-4-amine hydrochloride
ADD ethanol	ADD triethylamine
ADD triethylamine	ADD ethanol
STAND for 16 h	STIR at 65°C for 20 min
CONCENTRATE	STIR at 25°C
PURIFY by chromatography	ADD
YIELD: n-(((1r,5s,6s)-3-(2-chloropyrimidin-4-yl)-3-azabicyclo[3.1.0]hexan-6-yl)methyl)-n-methyl-7h-pyrrolo[2,3-d]pyrimidin-4-amine	STIR at 65°C for 2 h
[END]	CRYSTALLISE
	YIELD: n-(((1r,5s,6s)-3-(2-chloropyrimidin-4-yl)-3-azabicyclo[3.1.0]hexan-6-yl)methyl)-n-methyl-7h-pyrrolo[2,3-d]pyrimidin-4-amine
	[END]
