A	B
[START]	[START]
ADD bis(pinacolato)diboron	ADD 1-(4-bromo-2-methoxyphenyl)-1h-1,2,4-triazole
ADD potassium acetate	ADD bis(pinacolato)diboron
ADD Pd(dppf)Cl2.CH2Cl2	ADD Pd(dppf)Cl2.CH2Cl2
ADD 1-(4-bromo-2-methoxyphenyl)-1h-1,2,4-triazole	ADD potassium acetate
ADD DMF	ADD DMF
STIR at > 80°C for 2 h	STIR at > 80°C for 20 min
COOL to 25°C	SET PH [NEUTRALISE]
QUENCH with water	EXTRACT with ethyl acetate
EXTRACT with ethyl acetate	WASH organic phase with brine
REPEAT 2 time(s)	DRY SOLUTION with MgSO4
WASH organic phase	FILTER
REPEAT 2 time(s)	CONCENTRATE
DRY SOLUTION with Na2SO4	PURIFY by chromatography
FILTER	YIELD: 1-(2-methoxy-4-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)phenyl)-1h-1,2,4-triazole
CONCENTRATE filtrate	[END]
PURIFY by chromatography	
YIELD: 1-(2-methoxy-4-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)phenyl)-1h-1,2,4-triazole	
[END]	
