A	B
[START]	[START]
ADD 7-(2,2,2-trifluoro-N-methylacetamido)thieno[2,3-b]pyrazine-6-carboxylate	ADD 7-(2,2,2-trifluoro-N-methylacetamido)thieno[2,3-b]pyrazine-6-carboxylate
ADD potassium hydroxide	ADD potassium hydroxide
ADD THF	ADD THF
ADD ethanol	ADD water
ADD water	ADD ethanol at 25°C
STIR at 65°C for 48 h	STIR at > 80°C for 2 h
EVAPORATE	COOL
ADD citric acid	ADD citric acid
STIR for 20 min	SET PH [NEUTRALISE]
COLLECT	EXTRACT with dichloromethane
WASH with water	WASH extracts
DRY	DRY SOLUTION
YIELD: 7-(methylamino)thieno[2,3-b]pyrazine-6-carboxylic acid	FILTER
[END]	CONCENTRATE
	YIELD: 7-(methylamino)thieno[2,3-b]pyrazine-6-carboxylic acid
	[END]
