A	B
[START]	[START]
ADD ethyl 2-((1-(3-chlorophenyl)cyclopropyl)amino)pyrimidine-5-carboxylate	ADD ethyl 2-((1-(3-chlorophenyl)cyclopropyl)amino)pyrimidine-5-carboxylate
ADD hydrazine hydrate	ADD ethanol
ADD ethanol at 25°C	ADD hydrazine hydrate at 25°C
STIR at > 80°C for 16 h	STIR at > 80°C for 16 h
COOL to 25°C	COOL to 25°C
CONCENTRATE	ADD
REMOVE solvent	EXTRACT with dichloromethane
ADD ethanol	WASH organic phase
STIR at 25°C	DRY SOLUTION with MgSO4
FILTER	FILTER
WASH with ethanol	CONCENTRATE
DRY	YIELD: 2-((1-(3-chlorophenyl)cyclopropyl)amino)pyrimidine-5-carbohydrazide
YIELD: 2-((1-(3-chlorophenyl)cyclopropyl)amino)pyrimidine-5-carbohydrazide	[END]
[END]	
