A	B
[START]	[START]
ADD methyl 6-chloro-4-cyano-2-(4-fluoro-3-methylphenylamino)nicotinate	ADD methyl 6-chloro-4-cyano-2-(4-fluoro-3-methylphenylamino)nicotinate
ADD triethylamine	ADD triethylamine
ADD cis-tert-butyl 2-aminocyclohexylcarbamate	ADD cis-tert-butyl 2-aminocyclohexylcarbamate
ADD THF	ADD THF at 65°C
STIR at 65°C for 48 h	ADD at 25°C for 2 h
ADD water	QUENCH
ADD ethyl acetate	ADD water
EXTRACT with ethyl acetate	ADD ethyl acetate at 65°C for 20 min
COMBINE organic phase	EXTRACT with ethyl acetate
WASH	WASH organic phase with brine
DRY SOLUTION with MgSO4	DRY SOLUTION with Na2SO4
EVAPORATE	FILTER
ADD ethyl acetate	CONCENTRATE
FILTER	PURIFY by chromatography
YIELD: methyl 6-((1r,2s)-2-(tert-butoxycarbonylamino)cyclohexylamino)-4-cyano-2-(4-fluoro-3-methylphenylamino)nicotinate	WASH with methanol
[END]	YIELD: methyl 6-((1r,2s)-2-(tert-butoxycarbonylamino)cyclohexylamino)-4-cyano-2-(4-fluoro-3-methylphenylamino)nicotinate
	[END]
