A	B
[START]	[START]
ADD (2S)-1-tert-butoxycarbonyl-5,5-dimethyl-pyrrolidine-2-carboxylic acid	ADD (2S)-1-tert-butoxycarbonyl-5,5-dimethyl-pyrrolidine-2-carboxylic acid
ADD THF at 25°C	ADD
HEAT to 65°C for 20 min	ADD THF
COOL	STIR at 25°C for 16 h
QUENCH with methanol	ADD
CONCENTRATE	EXTRACT with dichloromethane
YIELD: tert-butyl (5s)-5-(hydroxymethyl)-2,2-dimethyl-pyrrolidine-1-carboxylate	DRY SOLUTION
[END]	EVAPORATE
	CRYSTALLISE with ethyl acetate
	FILTER
	WASH with hexane
	EVAPORATE solvent
	YIELD: tert-butyl (5s)-5-(hydroxymethyl)-2,2-dimethyl-pyrrolidine-1-carboxylate
	[END]
