A	B
[START]	[START]
ADD methyl 2,6-dichloro-4-cyanonicotinate	ADD methyl 2,6-dichloro-4-cyanonicotinate
ADD 1H-indazol-6-amine	ADD 1H-indazol-6-amine
ADD triethylamine	ADD triethylamine
ADD THF	ADD THF
STIR at 65°C for 48 h	ADD THF
ADD water	ADD ethyl acetate
ADD ethyl acetate	WASH
WASH organic phase	DRY SOLUTION with Na2SO4
DRY SOLUTION with MgSO4	CONCENTRATE
EVAPORATE	PURIFY by chromatography
PURIFY by chromatography	YIELD: methyl 2-(1h-indazol-6-ylamino)-6-chloro-4-cyanonicotinate
YIELD: methyl 2-(1h-indazol-6-ylamino)-6-chloro-4-cyanonicotinate	[END]
[END]	
