A	B
[START]	[START]
ADD 5-bromo-2-ethylisoindoline-1,3-dione	ADD DIPEA
ADD DMF	ADD DMF
ADD tert-butyl acrylate	ADD Pd(OAc)2
ADD DIPEA	ADD tert-butyl acrylate
ADD Pd(OAc)2	ADD trio-tolylphosphine
ADD trio-tolylphosphine	ADD 5-bromo-2-ethylisoindoline-1,3-dione
MICROWAVE at > 80°C for 2 h	ADD at 65°C
EVAPORATE	HEAT
PURIFY by chromatography	STIR at > 80°C for 5 h
YIELD: (e)-tert-butyl 3-(2-ethyl-1,3-dioxoisoindolin-5-yl)acrylate	FILTER
[END]	EVAPORATE solvent
	MAKE SOLUTION
	WASH with brine
	DRY SOLUTION with Na2SO4
	CONCENTRATE
	PURIFY by chromatography
	YIELD: (e)-tert-butyl 3-(2-ethyl-1,3-dioxoisoindolin-5-yl)acrylate
	[END]
